"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","exp","ecrPosition","sdRank","risk"
"49ers","DST","SF",100029,,0,0,0,,27,,19,46,,,
"A.J. Derby","TE","DEN",2552580,1991-09-20,0,0,0,0,81,0,25,1,,,3.44540175578131
"A.J. Green","WR","CIN",2495450,1988-07-31,20.3254166666667,16.7366666666667,21.2945,2.90677859589539,3,0.928541666666668,2,5,"3.1","1.0",4.42255388714204
"AJ McCarron","QB","CIN",2543497,1990-09-13,0.3015,0.1614,0.4734,0.210648997149286,33,0.0435,18,2,,,4.43433936496702
"Aaron Burbridge","WR","SF",2555362,1993-12-23,0,0,0,0,137,0,28,0,,,3.27119706995192
"Aaron Dobson","WR","FA",2539256,1991-07-23,0,0,0,0,137,0,28,3,,,3.27119706995192
"Aaron Murray","QB","FA",2543587,1990-11-10,0,0,0,0,50,0,25,2,,,4.19965985727146
"Aaron Ripkowski","RB","GB",2552477,1992-12-20,2.00708333333333,1.66,2.3285,0.374136969868285,75,0.073333333333333,25,1,"64.5","5.5",5.24337798142793
"Aaron Rodgers","QB","GB",2506363,1983-12-02,25.9375,24.688,27.423,1.54532898331283,1,0.909791666666667,1,11,"2.8","1.0",3.40616276927858
"Adam Humphries","WR","TB",2553895,1993-06-24,11.3804166666667,9.07666666666667,12.3665,1.86056461711074,40,0.351874999999998,10,1,"51.4","5.6",5.91765536931979
"Adam Thielen","WR","MIN",2541785,1990-08-22,7.84,6.99,8.4,0.869223791667025,64,0.0422916666666673,15,2,"57.4","6.4",5.34503239456762
"Adam Vinatieri","K","IND",2503471,1972-12-28,5.70952380952381,2.28,8.46285714285714,4.13231005547234,22,1.13516483516483,11,20,"2.3","2.0",7.57109831194876
"Adrian Peterson","RB","MIN",2507164,1985-03-21,0,0,0,0,105,0,32,9,,,3.78388194861086
"Ahmad Bradshaw","RB","FA",2495560,1986-03-19,0,0,0,0,105,0,32,9,,,3.78388194861086
"Albert Wilson","WR","KC",2550272,1992-07-12,6.02375,4.857,6.7155,1.0239740800756,76,0.255833333333333,17,2,"91.6","6.5",7.12705132619656
"Aldrick Robinson","WR","ATL",2495331,1988-09-24,3.16458333333333,2.36933333333333,3.6235,0.693946543730535,95,0.0725000000000002,20,5,"92.8","5.8",4.76567273170192
"Alex Collins","RB","SEA",2555430,1994-08-26,2.03416666666667,1.021,2.532,0.951129445565756,74,0.0568750000000002,25,0,"65.3","6.3",6.21668242945065
"Alex Erickson","WR","CIN",2556519,1992-11-06,0.73,0.65,0.834,0.12619429464124,122,0.0974999999999998,25,0,,,3.5483206491227
"Alex Henery","K","FA",2495162,1987-08-18,0,0,0,,26,0,12,5,,,
"Alex Smith","QB","KC",2506340,1984-05-07,22.2516666666667,21.255,23.715,1.33552736150681,9,0.222291666666663,6,11,"15.6","2.5",5.31911869368408
"Alex Smith","TE","WAS",2506410,1982-05-22,0,0,0,,81,0,25,11,,,
"Alex Tanney","QB","FA",2534870,1987-11-11,0,0,0,0,50,0,25,4,,,4.19965985727146
"Alfred Blue","RB","HOU",2543600,1991-04-27,5.99625,3.86,9.0655,3.22743028584662,45,0.139166666666666,17,2,"44.7","6.1",7.71431400146295
"Alfred Morris","RB","DAL",2533457,1988-12-12,4.35375,3.435,4.6915,0.709417307842617,56,0.186041666666666,20,4,"44.9","3.6",4.57727497288201
"Allen Hurns","WR","JAC",2550353,1991-11-21,13.015,11.152,15.59,2.64988679003462,28,0.191458333333333,8,2,,,9.09036753038719
"Allen Robinson","WR","JAC",2543509,1993-08-24,16.9758333333333,15.674,18.2283333333333,1.48708420892848,11,0.315625000000001,3,2,"16.4","5.0",7.50657970937788
"Alonzo Harris","RB","FA",2553533,1992-11-09,0,0,0,,105,0,32,1,,,
"Alshon Jeffery","WR","CHI",2533039,1990-02-14,13.9920833333333,11.263,15.9615,2.52517229885188,23,0.173333333333332,7,4,"21.4","5.7",6.71188109757262
"Amari Cooper","WR","OAK",2552487,1994-06-18,17.5554166666667,14.6216666666667,17.99925,2.37171589460505,6,0.23770833333333,3,1,"7.3","2.3",4.15747362750287
"Ameer Abdullah","RB","DET",2552374,1993-06-13,0,0,0,0,105,0,32,1,,,3.78388194861086
"Andre Caldwell","WR","DET",206,1985-04-15,0,0,0,0,137,0,29,8,,,3.27119706995192
"Andre Debose","WR","FA",2553453,,0,0,0,0,137,0,28,1,,,3.27119706995192
"Andre Ellington","RB","ARI",2539217,1989-02-03,4.55833333333333,3.05333333333333,5.532,1.36253032586027,53,0.147916666666666,20,3,"57.6","6.6",6.6521557198661
"Andre Holmes","WR","OAK",2495453,1988-06-16,3.93333333333333,2.39833333333333,5.405,1.7958671690548,89,0.168333333333334,19,5,"89.7","6.7",8.03907681762858
"Andre Johnson","WR","TEN",2505551,1981-07-11,5.47041666666667,4.021,6.7695,1.62170028228263,82,0.742291666666666,18,13,"73.3","7.2",6.49367480043407
"Andre Roberts","WR","DET",497320,1988-01-09,3.31,1.939,4.615,1.69747606757798,93,0.135208333333333,20,6,"96.2","5.5",5.67409945278598
"Andre Williams","RB","FA",2543565,1992-08-28,0,0,0,0,105,0,32,2,,,3.78388194861086
"Andrew Franks","K","MIA",2553648,1993-01-11,0,0,0,0,26,0,12,1,,,2.96111582434564
"Andrew Hawkins","WR","CLE",2508097,1986-03-10,6.965,5.97,7.46625,0.804421052165262,72,0.3775,16,5,"72.8","7.3",5.66078336737601
"Andrew Luck","QB","IND",2533031,1989-09-12,24.3375,23.418,25.401,1.11119680225122,4,0.940624999999997,3,4,"4.5","1.8",4.03425854055865
"Andrew Quarless","TE","FA",497258,1988-10-06,0.5325,0.1065,0.9585,0.753068721963673,65,0.02,21,6,,,5.18097885420483
"Andrew Turzilli","WR","FA",2553829,1991-10-13,0,0,0,,137,0,28,1,,,
"Andy Dalton","QB","CIN",2495143,1987-10-29,22.825,21.17,23.858,1.51461216157801,7,0.562291666666667,5,5,"10.1","2.7",5.99882556796578
"Andy Janovich","RB","DEN",2555432,1993-05-23,1.54,0.78,2.316,1.06784830383346,79,0.115,25,0,"71.5","9.3",7.41724718194194
"Anquan Boldin","WR","DET",2505587,1980-10-03,10.4520833333333,9.17533333333333,11.0405,1.05231259878211,44,0.0802083333333332,11,13,"42.6","5.0",7.0291989170523
"Anthony Dable","WR","FA",2555573,1988-09-25,0,0,0,,137,0,28,0,,,
"Anthony Dixon","RB","FA",497172,1987-09-24,0,0,0,0,105,0,32,6,,,3.78388194861086
"Anthony Fasano","TE","TEN",2495835,1984-04-20,3.42083333333333,0.883,6.51133333333333,3.21624738200006,36,0.217291666666667,14,10,"41.8","3.6",7.74741138599901
"Anthony McCoy","TE","FA",497250,1987-12-28,0,0,0,0,81,0,25,6,,,3.44540175578131
"Anthony Sherman","RB","KC",2495340,1988-12-11,0.515,0.125,0.849,0.463330335721718,90,0.0637499999999999,29,5,"81.6","3.0",4.19091371145472
"Antone Smith","RB","TB",89798,1985-09-17,1.9475,1.0615,2.6915,0.881953324539721,76,0.1175,25,7,"59.9","5.1",5.39925478744168
"Antonio Andrews","RB","TEN",2550474,1992-08-17,0.66,0.378,0.922,0.342746261832277,87,0.06625,28,2,,,4.27691617205516
"Antonio Brown","WR","PIT",2508061,1988-07-10,0,0,0,0,137,0,28,6,,,3.27119706995192
"Antonio Gates","TE","SD",2505299,1980-06-18,9.37041666666667,7.72816666666667,10.167,1.31380305686287,15,0.298749999999998,5,13,"17.5","3.5",7.36721003228696
"Antwan Goodley","WR","FA",2554138,1991-09-06,0,0,0,,137,0,28,1,,,
"Arian Foster","RB","FA",79555,1986-08-24,0,0,0,0,105,0,32,7,,,3.78388194861086
"Arrelious Benn","WR","JAC",497270,1988-09-08,1.42666666666667,0.461,2.761,1.64423487778764,114,0.384166666666667,23,6,"103.2","3.8",4.00353787668748
"Asante Cleveland","TE","SD",2550454,1992-03-21,0,0,0,0,81,0,25,2,,,3.44540175578131
"Austin Davis","QB","DEN",2533349,1989-06-02,0,0,0,0,50,0,25,4,,,4.19965985727146
"Austin Hooper","TE","ATL",2555415,1994-10-29,2.97416666666667,1.97166666666667,3.626,0.889867343421978,39,0.0250000000000004,15,0,"29.6","2.8",4.36652682485898
"Austin Johnson","RB","FA",2534437,1989-06-16,0,0,0,0,105,0,32,3,,,3.78388194861086
"Austin Seferian-Jenkins","TE","NYJ",2543683,1992-09-29,4.28333333333333,3.4325,5.0375,1.01043170091908,29,0.0270833333333336,13,2,,,5.77411634515297
"Austin Willis","WR","FA",2553858,1992-04-13,0,0,0,,137,0,28,1,,,
